Fecha, Zona, CO2, SO2, NO2, PM2.5
2020-01-26, Centro, 41.30, 1.50, 3.00, 18.00
2020-01-26, Oeste, 29.20, 0.80, 1.60, 8.90
2020-01-27, Norte, 31.50, 0.70, 1.10, 13.20
2020-01-27, Sur, 39.80, 0.90, 2.50, 13.70
2020-01-27, Este, 41.80, 0.80, 3.10, 19.40
2020-01-27, Centro, 41.60, 1.40, 4.00, 18.90
2020-01-27, Oeste, 30.10, 0.70, 1.80, 10.20
2020-01-28, Norte, 32.40, 0.40, 2.10, 8.60
2020-01-28, Sur, 38.10, 1.00, 3.20, 15.50
2020-01-28, Este, 40.90, 1.20, 2.80, 13.50
2020-01-28, Centro, 44.10, 1.60, 3.30, 17.10
2020-01-28, Oeste, 30.80, 0.60, 2.40, 10.10
2020-01-29, Norte, 35.10, 1.00, 1.80, 11.10
2020-01-29, Sur, 39.40, 1.20, 3.00, 15.10
2020-01-29, Este, 45.70, 1.20, 3.40, 16.10
2020-01-29, Centro, 45.50, 1.60, 3.40, 20.40
2020-01-29, Oeste, 28.10, 0.50, 2.00, 9.60
2020-01-30, Norte, 33.60, 1.10, 2.00, 8.40
2020-01-30, Sur, 39.30, 1.10, 3.00, 14.40
2020-01-30, Este, 39.70, 1.20, 3.20, 16.30
2020-01-30, Centro, 43.50, 1.30, 3.60, 18.20
2020-01-30, Oeste, 34.30, 0.60, 1.70, 12.30
2020-01-31, Norte, 34.00, 1.00, 2.40, 11.00
2020-01-31, Sur, 39.70, 0.90, 3.00, 12.50
2020-01-31, Este, 40.00, 1.10, 3.30, 17.30
2020-01-31, Centro, 44.90, 1.50, 3.10, 17.50
2020-01-31, Oeste, 31.70, 0.80, 1.60, 6.00
2024-01-01, Norte, 33.50, 0.90, 2.30, 10.20
2024-01-02, Norte, 35.00, 1.00, 2.50, 10.80
2024-01-03, Norte, 34.20, 1.10, 2.40, 10.10
2024-01-04, Sur, 41.00, 1.30, 3.20, 15.50
2024-01-05, Sur, 39.50, 1.20, 3.00, 14.80
2024-01-06, Sur, 40.00, 1.10, 2.90, 15.00
2024-01-07, Este, 42.50, 1.50, 3.40, 17.50
2024-01-08, Este, 41.20, 1.40, 3.10, 17.20
2024-01-09, Este, 43.00, 1.60, 3.50, 17.80
2024-01-10, Centro, 46.00, 1.60, 3.60, 18.50
2024-01-11, Centro, 44.00, 1.50, 3.30, 18.00
2024-01-12, Centro, 45.50, 1.70, 3.70, 18.70
2024-01-13, Oeste, 30.50, 0.70, 2.00, 8.90
2024-01-14, Oeste, 31.00, 0.80, 2.10, 9.10
2024-01-15, Oeste, 30.80, 0.60, 1.90, 8.70
2024-01-16, Norte, 33.90, 1.00, 2.40, 10.50
2024-01-17, Norte, 34.10, 1.10, 2.40, 10.60
2024-01-18, Norte, 34.30, 1.10, 2.50, 10.80
2024-01-19, Norte, 34.50, 1.10, 2.50, 10.90
2024-01-20, Sur, 39.80, 1.20, 3.10, 15.10
2024-01-21, Sur, 40.00, 1.20, 3.10, 15.20
2024-01-22, Sur, 40.20, 1.30, 3.20, 15.30
2024-01-23, Sur, 40.50, 1.30, 3.30, 15.40
2024-01-24, Este, 42.70, 1.50, 3.40, 17.40
2024-01-25, Este, 42.90, 1.50, 3.40, 17.50
2024-01-26, Este, 43.20, 1.60, 3.50, 17.60
2024-01-27, Este, 43.50, 1.60, 3.60, 17.80
2024-01-28, Centro, 45.10, 1.60, 3.50, 18.40
2024-01-29, Centro, 45.30, 1.60, 3.60, 18.50
2024-01-30, Centro, 45.60, 1.70, 3.70, 18.60
2024-01-31, Centro, 45.90, 1.70, 3.70, 18.70
2024-01-04, Oeste, 30.60, 0.70, 2.00, 8.90
2024-01-05, Oeste, 30.80, 0.70, 2.10, 9.00
2024-01-06, Oeste, 31.00, 0.80, 2.10, 9.10
2024-01-07, Oeste, 31.20, 0.80, 2.20, 9.20
2024-02-01, Norte, 34.80, 1.20, 2.60, 11.10
2024-02-02, Norte, 35.00, 1.20, 2.70, 11.30
2024-02-01, Sur, 40.70, 1.40, 3.40, 15.60
2024-02-02, Sur, 41.00, 1.40, 3.50, 15.80
2024-02-01, Este, 43.80, 1.70, 3.70, 18.00
2024-02-02, Este, 44.00, 1.70, 3.80, 18.20
2024-02-01, Centro, 46.20, 1.80, 3.80, 19.00
2024-02-02, Centro, 46.50, 1.80, 3.90, 19.20
2024-02-01, Oeste, 31.50, 0.90, 2.30, 9.30
2024-02-02, Oeste, 31.80, 0.90, 2.40, 9.40

